=== MONTE CARLO COST EFFICIENCY SUMMARY ===
Pool Size: 300 | Iterations: 5000

################################################################################
# METRIC: TARGET_GT_2
################################################################################

TARGET CATEGORY: LEFT USERS
==================================================
  Trials (T) | Nodes (N)  | Statistical Power (%)
  -----------+------------+--------------------------
  2          | 20         |                      0.0%
  3          | 20         |                      0.0%
  4          | 20         |                     13.6%
  5          | 20         |                     20.5%
  6          | 20         |                     27.1%
  7          | 20         |                     32.9%
  8          | 20         |                     38.8%
  9          | 20         |                     44.8%
  10         | 20         |                     49.0%
  2          | 30         |                      0.0%
  3          | 30         |                      0.0%
  4          | 30         |                     37.9%
  5          | 30         |                     50.0%
  6          | 30         |                     61.9%
  7          | 30         |                     71.7%
  8          | 30         |                     79.9%
  9          | 30         |                     84.8%
  10         | 30         |                     90.0%
  2          | 40         |                      0.0%
  3          | 40         |                      0.0%
  4          | 40         |                     46.0%
  5          | 40         |                     64.9%
  6          | 40         |                     76.1%
  7          | 40         |                     86.0%
  8          | 40         |                     91.0%
  9          | 40         |                     94.4%
  10         | 40         |                     96.7%
  2          | 50         |                      0.0%
  3          | 50         |                      0.0%
  4          | 50         |                     57.1%
  5          | 50         |                     75.9%
  6          | 50         |                     87.0%
  7          | 50         |                     93.4%
  8          | 50         |                     96.1%
  9          | 50         |                     98.0%
  10         | 50         |                     99.2%
  2          | 60         |                      0.0%
  3          | 60         |                      0.0%
  4          | 60         |                     76.1%
  5          | 60         |                     89.7%
  6          | 60         |                     95.7%
  7          | 60         |                     98.2%
  8          | 60         |                     99.4%
  9          | 60         |                     99.8%
  10         | 60         |                     99.9%
  2          | 70         |                      0.0%
  3          | 70         |                      0.0%
  4          | 70         |                     83.3%
  5          | 70         |                     95.4%
  6          | 70         |                     98.9%
  7          | 70         |                     99.8%
  8          | 70         |                     99.9%
  9          | 70         |                    100.0%
  10         | 70         |                    100.0%
  2          | 80         |                      0.0%
  3          | 80         |                      0.0%
  4          | 80         |                     89.6%
  5          | 80         |                     97.9%
  6          | 80         |                     99.7%
  7          | 80         |                    100.0%
  8          | 80         |                    100.0%
  9          | 80         |                    100.0%
  10         | 80         |                    100.0%
  2          | 90         |                      0.0%
  3          | 90         |                      0.0%
  4          | 90         |                     89.7%
  5          | 90         |                     98.4%
  6          | 90         |                     99.8%
  7          | 90         |                    100.0%
  8          | 90         |                    100.0%
  9          | 90         |                    100.0%
  10         | 90         |                    100.0%
  2          | 100        |                      0.0%
  3          | 100        |                      0.0%
  4          | 100        |                     90.2%
  5          | 100        |                     97.9%
  6          | 100        |                     99.6%
  7          | 100        |                    100.0%
  8          | 100        |                    100.0%
  9          | 100        |                    100.0%
  10         | 100        |                    100.0%

TARGET CATEGORY: RIGHT USERS
==================================================
  Trials (T) | Nodes (N)  | Statistical Power (%)
  -----------+------------+--------------------------
  2          | 20         |                      0.0%
  3          | 20         |                      0.4%
