=== MONTE CARLO COST EFFICIENCY SUMMARY ===
Pool Size: 150 | Iterations: 2000

################################################################################
# METRIC: TARGET_GT_2
################################################################################

TARGET CATEGORY: LEFT USERS
==================================================
  Trials (T) | Nodes (N)  | Statistical Power (%)
  3          | 20         |                      0.0%
  4          | 20         |                      6.7%
  5          | 20         |                      8.8%
  6          | 20         |                     10.3%
  7          | 20         |                     12.7%
  8          | 20         |                     13.8%
  9          | 20         |                     16.2%
  10         | 20         |                     19.4%
  2          | 40         |                      0.0%
  3          | 40         |                      0.0%
  4          | 40         |                     26.4%
  5          | 40         |                     38.8%
  6          | 40         |                     48.0%
  7          | 40         |                     58.5%
  8          | 40         |                     64.4%
  9          | 40         |                     71.4%
  10         | 40         |                     79.6%
  2          | 60         |                      0.0%
  3          | 60         |                      0.0%
  4          | 60         |                     44.3%
  5          | 60         |                     58.0%
  6          | 60         |                     71.7%
  7          | 60         |                     81.5%
  8          | 60         |                     87.6%
  9          | 60         |                     92.8%
  10         | 60         |                     96.5%
  2          | 80         |                      0.0%
  3          | 80         |                      0.0%
  4          | 80         |                     59.8%
  5          | 80         |                     78.0%
  6          | 80         |                     90.5%
  7          | 80         |                     95.0%
  8          | 80         |                     97.9%
  9          | 80         |                     98.9%
  10         | 80         |                     99.7%
  2          | 100        |                      0.0%
  3          | 100        |                      0.0%
  4          | 100        |                     50.3%
  5          | 100        |                     67.6%
  6          | 100        |                     81.2%
  7          | 100        |                     88.8%
  8          | 100        |                     94.6%
  9          | 100        |                     96.3%
  10         | 100        |                     98.2%

TARGET CATEGORY: RIGHT USERS
==================================================
  Trials (T) | Nodes (N)  | Statistical Power (%)
  -----------+------------+--------------------------
  2          | 20         |                      0.0%
  3          | 20         |                      0.0%
  4          | 20         |                     31.2%
  5          | 20         |                     46.7%
  6          | 20         |                     55.7%
  7          | 20         |                     65.0%
  8          | 20         |                     71.0%
  9          | 20         |                     78.5%
  10         | 20         |                     84.8%
  2          | 40         |                      0.0%
  3          | 40         |                      0.0%
  4          | 40         |                     86.3%
  5          | 40         |                     97.5%
  6          | 40         |                     99.9%
  7          | 40         |                    100.0%
  8          | 40         |                    100.0%
  9          | 40         |                    100.0%
  10         | 40         |                    100.0%
  2          | 60         |                      0.0%
  3          | 60         |                      0.0%
  4          | 60         |                    100.0%
  5          | 60         |                    100.0%
