=== MONTE CARLO COST EFFICIENCY SUMMARY ===
Pool Size: 150 | Iterations: 2000

################################################################################
# METRIC: TARGET_GT_2
################################################################################

TARGET CATEGORY: LEFT USERS
==================================================
  Trials (T) | Nodes (N)  | Statistical Power (%)
  -----------+------------+--------------------------
  2          | 20         |                      0.0%
  3          | 20         |                      0.1%
  4          | 20         |                      2.8%
  5          | 20         |                      3.6%
  6          | 20         |                      3.5%
  7          | 20         |                      4.6%
  8          | 20         |                      5.1%
  9          | 20         |                      5.1%
  10         | 20         |                      4.7%
  2          | 40         |                      0.0%
  3          | 40         |                      0.0%
  4          | 40         |                     42.4%
  5          | 40         |                     59.7%
  6          | 40         |                     69.5%
  7          | 40         |                     80.2%
  8          | 40         |                     88.0%
  9          | 40         |                     91.2%
  10         | 40         |                     95.0%
  2          | 60         |                      0.0%
  3          | 60         |                      0.0%
  4          | 60         |                     40.6%
  5          | 60         |                     58.5%
  6          | 60         |                     73.2%
  7          | 60         |                     82.9%
  8          | 60         |                     88.3%
  9          | 60         |                     93.0%
  10         | 60         |                     96.4%
  2          | 80         |                      0.0%
  3          | 80         |                      0.0%
  4          | 80         |                     74.1%
  5          | 80         |                     88.3%
  6          | 80         |                     96.2%
  7          | 80         |                     98.9%
  8          | 80         |                     99.7%
  9          | 80         |                    100.0%
  10         | 80         |                    100.0%
  2          | 100        |                      0.0%
  3          | 100        |                      0.0%
  4          | 100        |                     73.8%
  5          | 100        |                     88.7%
  6          | 100        |                     95.7%
  7          | 100        |                     99.0%
  8          | 100        |                     99.2%
  9          | 100        |                     99.9%
  10         | 100        |                    100.0%

TARGET CATEGORY: RIGHT USERS
==================================================
  Trials (T) | Nodes (N)  | Statistical Power (%)
  -----------+------------+--------------------------
  2          | 20         |                      0.0%
  3          | 20         |                      1.8%
  4          | 20         |                     45.0%
  5          | 20         |                     62.4%
  6          | 20         |                     77.6%
  7          | 20         |                     89.6%
  8          | 20         |                     93.0%
  9          | 20         |                     96.8%
  10         | 20         |                     98.2%
  2          | 40         |                      0.0%
  3          | 40         |                      0.5%
  4          | 40         |                     71.7%
  5          | 40         |                     87.1%
  6          | 40         |                     96.2%
  7          | 40         |                     98.7%
  8          | 40         |                     99.6%
  9          | 40         |                     99.9%
  10         | 40         |                    100.0%
  2          | 60         |                      0.0%
  3          | 60         |                      0.1%
  4          | 60         |                     98.8%
  5          | 60         |                    100.0%
  6          | 60         |                    100.0%
  7          | 60         |                    100.0%
  8          | 60         |                    100.0%
  9          | 60         |                    100.0%
  10         | 60         |                    100.0%
  2          | 80         |                      0.0%
  3          | 80         |                      0.1%
  4          | 80         |                    100.0%
  5          | 80         |                    100.0%
  6          | 80         |                    100.0%
  7          | 80         |                    100.0%
  8          | 80         |                    100.0%
  9          | 80         |                    100.0%
  10         | 80         |                    100.0%
  2          | 100        |                      0.0%
  3          | 100        |                      0.0%
